id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,5.6714805e-07,3.608156e-07,1.6554494e-09,6.843512e-07,9.32065e-07,6.4289954e-05,3.955613e-09,2.731576e-10,2.0243577e-08,3.5675637e-06,0.00014509799,7.3138007e-10,1.8670043e-08,5.70154e-09,3.9834667e-06,4.5283957e-07,0.00011342371,3.028676e-10,4.9607584e-06,9.975272e-11,4.3064992e-05,7.33162e-07,1.908589e-06,2.1410116e-07,5.6814136e-09,1.4298734e-06,0.00013020921,1.7893806e-05,7.824299e-09,5.436218e-08,6.876678e-12,0.0016125875,7.596441e-05,9.7353906e-05,2.539443e-08,9.729232e-06,2.8618226e-07,2.6765785e-09,1.1344832e-07,6.954833e-08,1.3753237e-10,4.3869628e-07,1.217085e-06,5.2460165e-09,4.5427e-05,1.4933462e-07,0.020810142,2.4110272e-09,4.9055755e-09,4.7361805e-06,3.2674345e-07,0.9404521,8.2755946e-08,2.7185563e-06,1.2953018e-05,2.8171024e-05,5.366798e-05,5.283049e-09,6.1230396e-11,1.2566924e-06,1.7311801e-06,7.7478336e-07,2.0663804e-06,3.8164822e-09,0.019779997,2.0741765e-05,6.88499e-05,3.8792344e-11,1.116547e-06,7.697417e-08,3.1649137e-07,2.8021563e-07,3.637319e-05,3.5177459e-09,0.007486319,0.0014024853,4.3023343e-10,2.6248704e-06,0.001779054,1.5732477e-06,8.434222e-06,2.6468325e-10,1.1699916e-08,0.0039458848,0.0013263542,5.017281e-10,3.9916594e-09,3.3056993e-10,0.0002796282,1.4079164e-11,2.1220417e-09,1.1477954e-06,4.299398e-06,9.767963e-06,1.1959246e-08,9.834921e-11,1.0696618e-10,9.6702286e-05,1.2615687e-08
7,1.1856016e-06,4.9718034e-05,0.00011583581,0.0015028166,1.235375e-08,2.8080993e-05,0.00021408364,1.9012358e-08,3.1874008e-06,1.4746428e-06,7.9944314e-08,3.521512e-08,1.6274607e-06,3.9525062e-08,1.2088495e-06,3.3628215e-08,3.4694546e-07,2.4456172e-05,6.179774e-08,0.00038902182,2.6825597e-07,2.8332033e-06,2.0436447e-07,1.6507427e-07,3.080513e-07,1.9202571e-07,1.6813581e-05,1.425961e-05,2.926644e-07,8.478439e-07,1.0958996e-05,6.74598e-07,2.6676766e-05,5.093425e-07,0.0003006929,3.703133e-09,0.008263962,5.8054775e-06,0.00015013175,0.00019038742,0.00024768573,0.00015986913,8.754058e-05,8.193429e-05,1.2398996e-07,0.0010149117,1.6625907e-07,0.001387862,6.192784e-06,2.0021085e-08,0.97009754,3.6555093e-06,6.8500353e-06,2.0520916e-05,6.0518787e-06,4.249548e-05,3.6736015e-08,4.275615e-06,0.00031960913,0.00024363186,1.2559998e-05,1.0031175e-05,1.9084732e-08,0.00040388244,1.1340678e-06,2.4269011e-06,7.5857804e-07,1.7921311e-05,0.00023646894,0.0036793842,1.1407909e-08,6.668402e-06,6.296545e-07,1.2362638e-06,2.2653305e-08,2.33782e-06,0.0004786732,3.7925936e-06,6.8399663e-07,5.903532e-05,9.4044964e-07,2.71781e-05,0.0036881824,7.3378906e-05,0.00025387132,7.776797e-05,0.00014354348,0.003971507,2.7073068e-09,2.6862247e-06,6.7420033e-06,1.164325e-07,5.446051e-09,2.7565273e-08,0.0015571219,2.5836566e-06,0.00021464011,6.970577e-07,1.1096756e-05
9,4.4269605e-06,0.95685446,4.1335235e-07,1.9906927e-06,0.02132691,0.000109628476,6.505613e-07,1.2238464e-05,0.0006744492,0.00069816277,2.6200636e-05,0.0034688762,1.6712593e-05,4.0818148e-05,0.00024236747,3.835302e-06,0.00928172,5.099627e-07,4.0794353e-06,1.6617156e-05,9.5018615e-05,4.0872957e-05,1.1452297e-06,1.6698779e-07,2.706483e-09,6.2256777e-06,0.002190862,2.9134773e-07,1.8720553e-07,7.591132e-08,2.7716038e-07,4.9251985e-06,2.762666e-05,5.8647756e-06,1.1298808e-07,0.00067181146,3.3236225e-07,3.3203028e-07,1.564289e-07,9.15022e-06,2.0630753e-06,6.255748e-05,1.0131475e-06,9.249858e-09,1.3145754e-05,3.60967e-08,2.002541e-05,1.7312528e-05,6.595514e-05,1.8833583e-05,3.6590775e-06,2.3883483e-06,3.983434e-08,8.424056e-06,0.00015902352,1.670159e-06,0.000274252,5.3411e-08,3.739534e-09,1.5621481e-07,1.158769e-06,2.0774147e-08,2.6800628e-06,1.3426403e-06,0.00027884464,2.1252834e-05,2.6898197e-05,2.5251603e-09,2.8971297e-07,1.7417129e-06,1.8084696e-08,3.971361e-06,1.4772454e-06,3.7891443e-06,7.471159e-05,1.1986651e-05,1.0213075e-07,7.957082e-05,3.4364824e-05,3.8325556e-08,5.9375736e-05,8.109618e-09,3.2015972e-08,2.0804833e-05,1.5561993e-05,1.5824207e-05,9.345002e-08,7.041023e-07,2.1892869e-05,1.5566435e-06,3.4564658e-09,3.1832864e-05,7.3532743e-07,3.0513185e-05,2.0425987e-05,0.00020634198,8.013973e-10,4.340234e-06,0.0025345993
12,1.3435787e-05,0.010533622,2.7530584e-07,3.0415544e-05,2.000764e-07,1.09741606e-07,0.00036071107,0.00015937182,0.0027096646,0.00040259497,7.495099e-08,0.004764446,0.0028325852,0.0032854017,0.00090928044,2.4431952e-07,1.2551689e-05,0.0020308166,6.669954e-08,0.47119123,5.6838317e-06,3.4739827e-08,1.2092785e-06,2.4800573e-10,2.1576993e-08,3.133955e-07,0.002955441,4.66037e-07,1.2605778e-09,6.0589585e-08,5.246115e-07,1.4053223e-08,4.6500438e-07,5.992566e-07,7.907046e-08,1.6552279e-07,2.3832463e-05,1.4534914e-06,3.0879007e-06,1.8441678e-07,8.7461814e-07,0.005209094,3.16991e-08,1.1280038e-06,1.3044574e-07,2.3180567e-06,1.0765515e-07,0.37896574,0.007354584,8.549559e-07,1.561474e-05,3.5242018e-09,1.1762744e-06,5.4101965e-06,1.04220035e-07,1.377474e-07,1.5369668e-08,7.2103757e-07,8.5077125e-05,1.9563379e-06,1.2944627e-05,3.2842156e-09,2.6028783e-06,4.525821e-05,4.5512472e-08,8.257581e-07,6.401773e-07,8.8938486e-07,2.0852961e-07,6.594526e-07,2.8722236e-10,2.4707104e-05,8.967455e-10,1.66094e-06,1.4166901e-08,7.199818e-08,8.467616e-08,5.3713047e-06,4.6696127e-06,8.729665e-07,2.0790512e-05,3.929389e-08,5.7290003e-06,1.1582963e-06,1.9988083e-06,5.4062017e-05,2.1657847e-06,2.1737793e-05,1.726096e-07,6.918437e-05,1.2782117e-08,3.267122e-05,2.7755123e-08,1.5881211e-06,0.0015131814,0.10111386,7.448866e-08,1.9084469e-07,0.0031838561
13,5.3788375e-05,0.00011101051,3.8313486e-09,1.9109531e-07,1.8247881e-06,3.3040152e-08,6.2519116e-06,3.0184876e-06,0.008291495,0.00012234446,3.5638252e-06,0.0032192445,0.00028763388,0.0005728433,0.9698877,2.5867698e-07,0.00575428,5.9960335e-06,1.5812986e-05,7.0936295e-07,0.0002045801,1.9647237e-08,8.3213615e-07,1.1754494e-09,6.7499684e-08,1.0634514e-07,0.0007541936,2.0451512e-06,2.1547617e-09,4.422226e-10,2.2987248e-09,4.6770293e-08,9.855124e-09,1.6535887e-07,2.0062534e-09,2.3874252e-05,8.383152e-08,4.0753175e-08,1.4197232e-07,6.0401018e-09,3.1627476e-08,0.00010968131,1.2061878e-07,2.331857e-06,1.8815292e-07,4.233588e-08,4.5855023e-07,0.00015582747,0.00034277813,0.0011274877,3.3302975e-08,2.0256965e-07,6.323109e-08,8.441296e-07,5.3927874e-07,8.3020005e-08,2.8854225e-07,2.4149477e-07,2.9096498e-08,1.3402891e-06,7.257287e-07,3.980858e-09,1.7034185e-06,1.0197549e-06,1.6992844e-06,3.7366576e-07,5.5824084e-06,1.0182747e-08,1.4764608e-08,9.996797e-08,3.4038719e-09,9.92857e-06,1.6964288e-09,1.0598718e-06,1.08566e-06,9.5064934e-07,9.405169e-09,1.0052045e-05,2.4409643e-05,1.8601071e-07,2.39623e-05,1.016111e-09,1.0656051e-06,3.0799794e-05,3.993227e-07,6.492659e-07,1.4744636e-07,1.5254747e-08,7.4332866e-07,5.332243e-05,6.5717303e-09,2.032138e-05,1.6089336e-07,0.00035221025,7.672266e-05,0.008294867,1.3900949e-08,3.7251743e-06,1.5144589e-05
16,0.00040688278,2.3580647e-05,0.00017642885,0.6463684,1.9424872e-08,3.3712357e-07,9.9668134e-05,6.348949e-05,2.6756914e-05,1.0283497e-06,8.595324e-05,3.5699334e-06,0.00076396536,4.077185e-05,0.00012723055,5.054515e-07,1.44133655e-05,0.002270879,0.00060461066,0.0017216133,2.6837648e-05,7.679251e-06,4.7067792e-06,1.2132821e-06,0.0002243838,0.00031991556,0.0005337576,0.0017822811,9.532051e-06,1.0246815e-06,0.0005159841,9.5260766e-05,0.00070131884,4.7329177e-06,0.00019166847,6.190081e-07,0.0020682474,2.751365e-05,8.238803e-05,0.0004045408,0.00020886805,0.0011192416,0.00024639285,0.032060735,8.7625944e-05,0.00990971,5.5156015e-06,0.00073698495,5.4222477e-05,0.00021376472,0.0048284344,9.459478e-06,0.016697546,5.435305e-05,1.7179624e-06,2.1964452e-05,3.0533453e-08,0.0005125581,0.011379833,3.0850963e-05,0.004160323,1.1263938e-05,0.00015309689,9.310136e-05,6.4732167e-06,0.00042431123,2.0235779e-05,0.00038233618,0.0021093518,0.0063429913,1.13085086e-07,1.5632644e-05,6.8698404e-07,0.0017040463,2.4876786e-07,2.0068692e-05,0.000115986586,5.671683e-05,1.4116951e-07,0.0011193905,4.5291554e-06,0.008639134,0.00022284965,0.0004692603,5.3647476e-05,0.0033144387,0.20604637,0.0008307619,2.1780887e-07,0.00080720335,0.00024139215,0.00019393815,2.1768452e-05,2.0882691e-05,0.012115906,0.00077170494,0.010544868,0.0006021343,0.0003788937
19,0.00017314745,1.9861061e-05,0.00018031428,0.97209585,2.0819067e-08,8.763399e-08,6.1007972e-06,5.5099787e-07,2.106518e-06,5.213351e-07,8.966577e-05,9.8441255e-08,0.00026585796,7.7619165e-07,3.2582172e-06,7.366808e-08,1.4274852e-06,2.3849963e-05,4.541068e-05,0.00016711831,1.4411399e-05,4.0230043e-06,3.0068577e-07,4.5469747e-07,9.2959535e-06,5.3707066e-05,1.8612815e-05,7.726079e-06,1.1239606e-06,3.179596e-07,4.8535745e-05,5.5092856e-05,0.0006639211,1.0736838e-06,4.6699704e-05,6.580343e-08,0.00023329975,3.197356e-06,2.9161147e-05,0.00026850178,2.2999193e-05,0.00037692444,1.0920892e-05,0.0012661995,4.9993e-06,0.0016809857,2.5071165e-06,5.3200758e-05,2.4559871e-05,3.4256918e-06,0.0035821274,3.836885e-06,0.00042811842,1.4467569e-05,7.888733e-06,9.9598954e-05,3.6086536e-08,3.893852e-06,0.00047852797,9.623087e-06,0.0011070055,1.0547759e-05,1.7486111e-06,1.0537724e-05,8.302347e-06,0.0007474529,6.376625e-07,6.482613e-06,0.0007123823,0.002229187,2.0103158e-08,1.7572339e-06,3.685513e-07,6.6231673e-06,8.727053e-08,7.331604e-06,8.4844156e-05,1.4999695e-05,1.2657544e-08,0.0001551212,4.8859863e-07,0.0012589521,2.9265984e-05,2.5395513e-05,6.263108e-05,0.0024549288,0.0021225368,0.0006773323,5.363355e-09,2.8662376e-05,0.00011518585,1.2209608e-05,5.980238e-07,3.3546114e-06,0.0031728446,5.7013435e-06,0.0017817508,1.6373264e-05,0.0005156926
23,3.1727294e-07,1.272174e-05,5.9811227e-05,3.4349683e-05,5.350549e-05,0.0022132194,0.0013748045,1.0639665e-07,5.414373e-07,6.113663e-06,1.8416364e-07,4.444168e-06,7.9112715e-07,3.2391388e-06,1.8352789e-07,0.008501608,1.5158303e-08,1.0433188e-05,2.1345131e-05,5.114591e-06,3.3361375e-05,1.5515803e-06,0.00022716584,0.002470273,0.0011703911,9.361695e-05,4.546034e-07,4.5245898e-07,0.700119,0.259558,0.012135061,4.0175314e-07,2.5297642e-05,0.00020880808,0.0001122945,2.6347865e-05,7.397332e-05,0.0010478658,8.3827465e-05,0.00013539554,1.4754971e-05,9.016096e-09,3.613822e-05,1.6243166e-05,1.0840272e-06,7.0325705e-06,1.5049911e-06,3.4916022e-06,1.0151098e-06,1.9313406e-07,2.806012e-06,2.4146211e-06,9.027351e-05,5.6566464e-06,4.625571e-05,0.0021009038,5.6422095e-07,6.7661145e-05,3.6742495e-08,7.0533583e-06,5.1620867e-05,0.00015260477,3.560069e-05,1.2789119e-05,1.949269e-05,1.0032695e-05,0.00010788643,0.0001562979,1.6573362e-05,0.001864041,0.0014326065,0.00027596758,7.1958693e-06,0.00040913725,5.136862e-06,7.323215e-07,8.33148e-06,1.254499e-06,3.990131e-07,0.0010415146,0.0017706861,5.0054143e-05,2.8281572e-06,5.2551247e-08,4.7927165e-07,1.1967865e-06,1.9040597e-05,0.00010551566,4.0359546e-06,3.5466056e-07,1.4257382e-06,2.6870002e-06,7.709894e-06,1.3260598e-05,1.0979811e-07,2.4798275e-08,8.184852e-05,4.3276995e-07,9.754212e-05
24,8.058543e-05,4.7254158e-05,1.1889004e-05,1.4122825e-05,8.204793e-08,2.0611982e-05,3.538567e-06,6.8799184e-09,2.6279664e-05,6.7978397e-07,2.5936368e-05,2.8141256e-09,6.943172e-08,3.1585314e-09,4.8098974e-07,5.7878117e-07,0.00017473797,3.5684057e-08,4.340735e-08,2.3947743e-07,0.00015400145,7.140771e-06,4.905786e-08,7.6159057e-07,9.016953e-10,1.2998879e-06,3.4848483e-05,2.8031318e-06,2.3437438e-10,1.6200106e-08,1.2801602e-09,0.0059212144,0.0003825715,6.035944e-05,1.4879379e-05,6.124302e-08,4.840416e-05,4.648618e-06,4.450938e-06,0.00046207925,1.08977865e-05,2.9003354e-06,1.9550805e-06,2.8916025e-08,1.7288965e-05,4.1234325e-05,1.1369873e-06,5.636561e-08,5.3006573e-08,6.772354e-08,5.3975023e-06,0.00070236804,1.956611e-09,9.469736e-09,6.2036543e-06,3.0495048e-06,3.022402e-08,2.7674622e-07,8.576929e-06,0.0006282456,2.6310668e-06,1.1830828e-06,6.634338e-08,9.955466e-08,7.538044e-06,2.4277497e-05,4.54085e-06,7.681522e-08,1.5137065e-05,2.9448924e-07,2.9068259e-08,1.0666467e-07,0.00011810909,1.3633325e-08,1.832109e-05,3.4565567e-06,2.958325e-07,6.5857366e-06,5.3062085e-05,1.5531352e-06,1.7652114e-07,7.882184e-08,6.7478954e-06,8.487938e-05,0.9906669,5.6990448e-08,1.10081375e-08,6.418571e-07,2.9499014e-07,5.133393e-07,7.9768887e-07,4.066413e-07,2.3213195e-08,1.780927e-07,3.783391e-05,5.4235233e-08,2.316233e-08,6.4584615e-06,2.4010664e-08
28,0.0040217354,0.000956842,8.883065e-07,7.7589495e-05,6.432328e-05,6.8615185e-07,0.00014989021,0.00088059134,0.9421625,1.752288e-05,0.001228511,0.00044505007,0.0015406393,0.0005956086,0.0032685332,2.8148165e-06,0.012602515,0.00033540104,2.4566689e-05,7.412798e-05,0.0011152232,4.9944134e-07,6.7794065e-07,5.2623785e-09,4.5690026e-08,6.34732e-07,0.0013321701,2.7157457e-06,1.1067726e-08,1.6049082e-08,2.5950362e-07,1.7416787e-05,6.44416e-05,4.1619758e-05,5.944983e-07,4.0990646e-05,1.6644854e-06,1.3419565e-06,4.672193e-07,1.6836914e-06,1.3051482e-06,0.00048021582,5.8317796e-06,5.8401025e-07,2.1954735e-05,2.1191589e-05,3.0575911e-06,0.0002893459,0.0007321913,0.00056251494,1.975033e-06,4.557577e-07,2.6861883e-06,5.4435504e-06,1.1831183e-05,3.0888707e-05,4.7599522e-07,1.1124043e-06,1.1110743e-05,1.2320024e-05,9.854637e-06,9.368335e-08,3.7677003e-06,2.4977664e-06,2.0630192e-05,0.000104352635,9.413608e-06,1.5378089e-07,1.7166383e-05,7.629743e-06,1.6280781e-08,1.4673877e-05,9.322311e-08,1.9740699e-05,3.0467047e-06,1.0407013e-05,3.7468584e-07,1.8565515e-05,5.4195443e-05,1.2877881e-06,9.412194e-05,7.365604e-07,9.941936e-06,0.00022487072,0.00038203967,2.9218887e-05,1.48128765e-05,4.620018e-06,5.6772893e-07,0.00298529,3.894454e-06,0.00058211107,7.0090286e-06,0.0018572655,0.017897889,0.002268806,2.8730613e-08,1.2856088e-06,6.816939e-05
